0,1,2,3,4
-0.119995,37.820007,85.099991,-228.160004,-181.419998
-91.419998,-53.459991,-5.959991,41.0,87.360001
-170.259995,-132.679993,-86.0,-38.979996,8.300003
71.639999,-248.399994,-201.080002,-153.740005,-106.540001
-27.979996,-79.720001,-122.199997,-164.240005,-206.580002
-269.5,39.279999,-3.220001,-46.599991,-90.099998
-95.559998,-146.02002,-188.779999,-232.220001,83.900009
-178.860001,-230.839996,85.939987,43.439987,-0.039993
0.820007,39.180008,85.87999,-227.059998,-180.839996
-80.639999,-42.539993,4.740005,52.060013,-261.679993
-163.619995,-125.900002,-79.899994,-32.660004,13.600006
-7.899994,-57.979996,-100.68,-142.940002,-185.880005
-263.980011,-224.580002,-177.380005,-130.100006,-83.559998
88.500015,39.460007,-2.5,-45.599991,-87.519997
-172.399994,-223.5,-266.220001,49.720016,6.839996
-96.860001,-146.059998,-188.660004,-233.179993,83.860001
1.220001,39.720001,86.62001,-226.240005,-179.380005
-89.080002,-141.0,-183.960007,-227.399994,-268.820007
-113.939995,-72.660004,-25.599991,20.639999,65.840012
-12.399994,-58.619995,-99.879997,-142.360001,-185.380005
-169.639999,-132.679993,-87.059998,-41.679993,6.199997
78.419998,29.0,-13.5,-55.779999,-97.659996
-260.980011,-219.899994,-172.940002,-126.559998,-79.119995
-177.679993,-227.679993,-269.779999,46.580002,4.380005
